  0%| | 0/1000 [00:00<?/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/utils/checkpoint.py:85: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/torch/autograd/graph.py:841: UserWarning: c10d::broadcast_: an autograd kernel was not registered to the Autograd key(s) but we are trying to backprop through it. This may lead to silently incorrect behavior. This behavior is deprecated and will be removed in a future version of PyTorch. If your operator is differentiable, please ensure you have registered an autograd kernel to the correct Autograd key (e.g. DispatchKey::Autograd, DispatchKey::CompositeImplicitAutograd). If your operator is not differentiable, or to squash this warning and use the previous behavior, please register torch::CppFunction::makeFallthrough() to DispatchKey::Autograd. (Triggered internally at /pytorch/torch/csrc/autograd/autograd_not_implemented_fallback.cpp:62.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/zero/stage3.py:1208: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  total_norm_cuda = get_accelerator().FloatTensor([float(total_norm)])
                       
{'loss': 1.9375, 'grad_norm': 0.9688287518393666, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.9648, 'grad_norm': 0.9807118878063861, 'learning_rate': 0.0002, 'epoch': 0.06}
{'loss': 2.0391, 'grad_norm': 0.9938950150923339, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9883, 'grad_norm': 1.0157001174143996, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0449, 'grad_norm': 1.0218185549204357, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0059, 'grad_norm': 1.0100885756526814, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9727, 'grad_norm': 1.0064261904172667, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 2.0312, 'grad_norm': 0.990311418353977, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8867, 'grad_norm': 0.9600657408774884, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9824, 'grad_norm': 0.9710174604234806, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9492, 'grad_norm': 0.9475897480272812, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.916, 'grad_norm': 0.9794508068589461, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.8301, 'grad_norm': 0.930917647279084, 'learning_rate': 0.0002, 'epoch': 0.07}
{'loss': 1.9824, 'grad_norm': 0.9967024794388399, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9316, 'grad_norm': 0.9682872035933234, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8789, 'grad_norm': 0.9477708865123008, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.8945, 'grad_norm': 0.9427526193125655, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9668, 'grad_norm': 0.9847004670282354, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9883, 'grad_norm': 1.0228223043660094, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9316, 'grad_norm': 0.9787728890852071, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9355, 'grad_norm': 0.952704665255303, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.877, 'grad_norm': 0.9291724052309013, 'learning_rate': 0.0002, 'epoch': 0.08}
{'loss': 1.9375, 'grad_norm': 0.9854149547559345, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9453, 'grad_norm': 0.9606536197804418, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.8633, 'grad_norm': 0.9430560459540817, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.832, 'grad_norm': 0.9251444111037392, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9961, 'grad_norm': 0.9755658977233579, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9688, 'grad_norm': 0.978755350500222, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9473, 'grad_norm': 0.9706422107396377, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 2.0352, 'grad_norm': 1.0099072827376594, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9648, 'grad_norm': 0.9686141380284885, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 1.9375, 'grad_norm': 0.9693640946759247, 'learning_rate': 0.0002, 'epoch': 0.09}
{'loss': 2.0586, 'grad_norm': 0.9976339960566153, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.8145, 'grad_norm': 0.9340369796457221, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9688, 'grad_norm': 0.9714789561821129, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.8242, 'grad_norm': 0.9126549994106309, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.875, 'grad_norm': 0.9595252102734928, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9199, 'grad_norm': 0.9653101731924045, 'learning_rate': 0.0002, 'epoch': 0.1}
  warnings.warn(  # warn only once
/home/nightfury/Desktop/GRASP/.venv/lib/python3.13/site-packages/deepspeed/runtime/engine.py:2401: FutureWarning: Positional args are being deprecated, use kwargs instead. Refer to https://pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.state_dict for details.
  sd = self.module.state_dict(destination, prefix, keep_vars)
                       
{'loss': 1.873, 'grad_norm': 0.9253959014729267, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9336, 'grad_norm': 0.9805990793608566, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9863, 'grad_norm': 0.9910892205132584, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.9609, 'grad_norm': 0.9877580909021085, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.8398, 'grad_norm': 0.9373392603086759, 'learning_rate': 0.0002, 'epoch': 0.1}
{'loss': 1.8613, 'grad_norm': 0.9320929686710944, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9258, 'grad_norm': 0.9570571584503277, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9199, 'grad_norm': 0.9866587471858937, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9707, 'grad_norm': 0.9562357184646357, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9883, 'grad_norm': 0.995402256917359, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9902, 'grad_norm': 1.0047665483336867, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.957, 'grad_norm': 0.9454456582351951, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 2.0371, 'grad_norm': 1.0075475063435284, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9023, 'grad_norm': 0.9744606286791186, 'learning_rate': 0.0002, 'epoch': 0.11}
{'loss': 1.9258, 'grad_norm': 0.9788800624988807, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 2.0195, 'grad_norm': 0.9943631565772151, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.9277, 'grad_norm': 0.9513503265609657, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.9688, 'grad_norm': 0.9944072733016953, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.7676, 'grad_norm': 0.9099026437179539, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.8906, 'grad_norm': 0.9525504960419503, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.9238, 'grad_norm': 0.9509813560479413, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.9551, 'grad_norm': 0.9716831226384003, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.9551, 'grad_norm': 0.9673037654775418, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.916, 'grad_norm': 0.9614772366325164, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 1.8535, 'grad_norm': 0.9256184752734672, 'learning_rate': 0.0002, 'epoch': 0.12}
{'loss': 2.041, 'grad_norm': 1.0068203085899006, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.9941, 'grad_norm': 0.9904828183158485, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.8242, 'grad_norm': 0.9612709025279372, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.8555, 'grad_norm': 0.9054435561907024, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.9922, 'grad_norm': 0.9894616838605348, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.9512, 'grad_norm': 0.9562197611895777, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.875, 'grad_norm': 0.9440728248049279, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.875, 'grad_norm': 0.9344555057813915, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.9707, 'grad_norm': 0.9884279164884762, 'learning_rate': 0.0002, 'epoch': 0.13}
{'loss': 1.8086, 'grad_norm': 0.9122390164827195, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.9727, 'grad_norm': 1.0004004630275725, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.8594, 'grad_norm': 0.9552698235530188, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 2.0352, 'grad_norm': 1.0010103843371363, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.9727, 'grad_norm': 0.985577529992924, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.832, 'grad_norm': 0.9358016843757382, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 2.0625, 'grad_norm': 1.013046983448363, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.9668, 'grad_norm': 0.9638943963041607, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.9336, 'grad_norm': 0.9401999695096867, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.9355, 'grad_norm': 0.9621613934881926, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 2.0117, 'grad_norm': 1.0018446121795161, 'learning_rate': 0.0002, 'epoch': 0.14}
{'loss': 1.918, 'grad_norm': 0.9700367902877286, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.8789, 'grad_norm': 0.9388154020524266, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.9102, 'grad_norm': 0.9407739058839736, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.9375, 'grad_norm': 0.952210034065284, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.9531, 'grad_norm': 0.9762753484075091, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.959, 'grad_norm': 0.9658790624510141, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.8828, 'grad_norm': 0.941918704532013, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.9043, 'grad_norm': 0.9630233332737518, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.9082, 'grad_norm': 0.9422568123344214, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.791, 'grad_norm': 0.9465162951179594, 'learning_rate': 0.0002, 'epoch': 0.15}
{'loss': 1.8145, 'grad_norm': 0.9124292633648546, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.873, 'grad_norm': 0.933626437712275, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.7715, 'grad_norm': 0.8936416667024859, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.8242, 'grad_norm': 0.9190859225912824, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.9805, 'grad_norm': 1.0123896785962039, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.9512, 'grad_norm': 0.9894559008547719, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.7598, 'grad_norm': 0.9028973883269661, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.9707, 'grad_norm': 0.977296599082451, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.8828, 'grad_norm': 0.9459680223282276, 'learning_rate': 0.0002, 'epoch': 0.16}
{'loss': 1.9316, 'grad_norm': 0.9725170112436097, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.8555, 'grad_norm': 0.9331707494907232, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.9258, 'grad_norm': 0.9415561667456269, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.8477, 'grad_norm': 0.9069358598096084, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.9219, 'grad_norm': 0.9513503265609657, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.8887, 'grad_norm': 0.9463288699379963, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.875, 'grad_norm': 0.9590221638430404, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.9316, 'grad_norm': 0.9642129295370023, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.8555, 'grad_norm': 0.9062100105670612, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.9023, 'grad_norm': 0.9498956723399039, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.8672, 'grad_norm': 0.9414163802618853, 'learning_rate': 0.0002, 'epoch': 0.17}
{'loss': 1.8301, 'grad_norm': 0.927018638382316, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.832, 'grad_norm': 0.9028382370747369, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.9746, 'grad_norm': 0.9739202536144275, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.8066, 'grad_norm': 0.9087468970244479, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.8984, 'grad_norm': 0.9870452992905455, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.7949, 'grad_norm': 0.9206576310620646, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.9043, 'grad_norm': 0.9485755279504962, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.9023, 'grad_norm': 0.9691909278813438, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.8672, 'grad_norm': 0.9527427031718824, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.8516, 'grad_norm': 0.903946678952178, 'learning_rate': 0.0002, 'epoch': 0.18}
{'loss': 1.8828, 'grad_norm': 0.953401119071955, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 2.0879, 'grad_norm': 1.0096447280140874, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.8828, 'grad_norm': 0.9481531763384972, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.9473, 'grad_norm': 0.9689862363170465, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.8887, 'grad_norm': 0.9299336596382158, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.9004, 'grad_norm': 0.9521559494895978, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.8047, 'grad_norm': 0.8935520192924644, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.9648, 'grad_norm': 0.9759079837885668, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.8418, 'grad_norm': 0.9216949804370699, 'learning_rate': 0.0002, 'epoch': 0.19}
{'loss': 1.9961, 'grad_norm': 1.0101792099092184, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 2.0273, 'grad_norm': 1.0002288556484835, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.9434, 'grad_norm': 0.960439165118009, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.8105, 'grad_norm': 0.9227849058268536, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.8613, 'grad_norm': 0.9737792368895866, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.8789, 'grad_norm': 0.9431652556487069, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.8496, 'grad_norm': 0.9344228470713386, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.9805, 'grad_norm': 0.9755580772110488, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.8184, 'grad_norm': 0.9285954063589468, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.9688, 'grad_norm': 0.9671223410502902, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.9336, 'grad_norm': 0.97499092293451, 'learning_rate': 0.0002, 'epoch': 0.2}
{'loss': 1.873, 'grad_norm': 0.9281475231379068, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.9688, 'grad_norm': 0.9739985874173616, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.8398, 'grad_norm': 0.9213555375702304, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.7617, 'grad_norm': 0.9007316158810327, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.8359, 'grad_norm': 0.9447332451761268, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.9336, 'grad_norm': 0.9629124141804448, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.7949, 'grad_norm': 0.9102170211739427, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.9375, 'grad_norm': 0.9865002170413629, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.9199, 'grad_norm': 0.9415966806876664, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.8594, 'grad_norm': 0.9193245473123274, 'learning_rate': 0.0002, 'epoch': 0.21}
{'loss': 1.9277, 'grad_norm': 0.9413110202093558, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 2.0039, 'grad_norm': 0.9968364265656252, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.7949, 'grad_norm': 0.9117747311701453, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.9023, 'grad_norm': 0.9288254275183725, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.9375, 'grad_norm': 0.9543229376301868, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.877, 'grad_norm': 0.9434827009190967, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 2.0527, 'grad_norm': 0.9872191983574209, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.9004, 'grad_norm': 0.9532130466504786, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.877, 'grad_norm': 0.9650414144691537, 'learning_rate': 0.0002, 'epoch': 0.22}
{'loss': 1.8242, 'grad_norm': 0.9108726727039879, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 1.8281, 'grad_norm': 0.9131668789324856, 'learning_rate': 0.0002, 'epoch': 0.23}
{'loss': 1.8906, 'grad_norm': 0.9424855230621002, 'learning_rate': 0.0002, 'epoch': 0.23}
